old_name,new_name
TFT17_ADMIN,ADMIN
TFT17_APTrait,Replicator
TFT17_ASTrait,Challenger
TFT17_AnimaSquad,Anima
TFT17_AssassinTrait,Rogue
TFT17_Astronaut,Meeple
TFT17_BlitzcrankUniqueTrait,PartyAnimal
TFT17_DRX,NOVA
TFT17_DarkStar,DarkStar
TFT17_Fateweaver,Fateweaver
TFT17_FioraUniqueTrait,DivineDuelist
TFT17_FlexTrait,Arbiter
TFT17_GravesTrait,FactoryNew
TFT17_HPTank,Brawler
TFT17_JhinUniqueTrait,Eradicator
TFT17_ManaTrait,Conduit
TFT17_Mecha,Mecha
TFT17_MeleeTrait,Marauder
TFT17_MissFortuneUndeterminedTrait,GunGoddess
TFT17_MissFortuneUniqueTrait,GunGoddess
TFT17_MorganaUniqueTrait,DarkLady
TFT17_Primordian,Primordian
TFT17_PsyOps,Psionic
TFT17_RangedTrait,Sniper
TFT17_ResistTank,Bastion
TFT17_RhaastUniqueTrait,Redeemer
TFT17_ShenUniqueTrait,Bulwark
TFT17_ShieldTank,Vanguard
TFT17_SonaUniqueTrait,Commander
TFT17_SpaceGroove,SpaceGroove
TFT17_Stargazer_Fountain,Stargazer_Fountain
TFT17_Stargazer_Huntress,Stargazer_Huntress
TFT17_Stargazer_Medallion,Stargazer_Medallion
TFT17_Stargazer_Mountain,Stargazer_Mountain
TFT17_Stargazer_Serpent,Stargazer_Serpent
TFT17_Stargazer_Shield,Stargazer_Shield
TFT17_Stargazer_Wolf,Stargazer_Wolf
TFT17_SummonTrait,Sheperd
TFT17_TahmKenchUniqueTrait,Oracle
TFT17_Timebreaker,Timebreaker
TFT17_VexUniqueTrait,Doomer
TFT17_ZedUniqueTrait,GalaxyHunter
