old_name,new_name
TFT17_Aatrox,Aatrox
TFT17_Akali,Akali
TFT17_AurelionSol,AurelionSol
TFT17_Aurora,Aurora
TFT17_Bard,Bard
TFT17_Belveth,Belveth
TFT17_Blitzcrank,Blitzcrank
TFT17_Briar,Briar
TFT17_Caitlyn,Caitlyn
TFT17_Chogath,ChoGath
TFT17_Corki,Corki
TFT17_Diana,Diana
TFT17_Ezreal,Ezreal
TFT17_Fiora,Fiora
TFT17_Fizz,Fizz
TFT17_Galio,Galio
TFT17_Gnar,Gnar
TFT17_Gragas,Gragas
TFT17_Graves,Graves
TFT17_Gwen,Gwen
TFT17_Illaoi,Illaoi
TFT17_IvernMinion,Meepsie
TFT17_Jax,Jax
TFT17_Jhin,Jhin
TFT17_Jinx,Jinx
TFT17_Kaisa,Kaisa
TFT17_Karma,Karma
TFT17_Kindred,Kindred
TFT17_Leblanc,Leblanc
TFT17_Leona,Leona
TFT17_Lissandra,Lissandra
TFT17_Lulu,Lulu
TFT17_Maokai,Maokai
TFT17_MasterYi,MasterYi
TFT17_Milio,Milio
TFT17_MissFortune,MissFortune
TFT17_Mordekaiser,Mordekaiser
TFT17_Morgana,Morgana
TFT17_Nami,Nami
TFT17_Nasus,Nasus
TFT17_Nunu,Nunu
TFT17_Ornn,Ornn
TFT17_PVE_ElderDragon,ElderDragon
TFT17_Pantheon,Pantheon
TFT17_Poppy,Poppy
TFT17_Pyke,Pyke
TFT17_Rammus,Rammus
TFT17_RekSai,RekSai
TFT17_Rhaast,Rhaast
TFT17_Riven,Riven
TFT17_Samira,Samira
TFT17_Shen,Shen
TFT17_Sona,Sona
TFT17_Summon,Summon
TFT17_TahmKench,TahmKench
TFT17_Talon,Talon
TFT17_Teemo,Teemo
TFT17_TwistedFate,TwistedFate
TFT17_Urgot,Urgot
TFT17_Veigar,Veigar
TFT17_Vex,Vex
TFT17_Viktor,Viktor
TFT17_Xayah,Xayah
TFT17_Zed,Zed
TFT17_Zoe,Zoe
tft17_bardfollower,Meeple
